repo,owner,language,stars,forks,description,scraped_at
awesome-russian-python,igordelorenzi,Python,4200,310,Список Python-ресурсов на русском языке.,2026-06-10 12:30
hexlet-basics,hexlet,JavaScript,3800,290,Сервис для изучения основ программирования.,2026-06-10 12:30
freeCodeCamp-ru,freeCodeCamp,JavaScript,9200,1100,FreeCodeCamp переведён на русский язык.,2026-06-10 12:30
system-design-primer-ru,donnemartin,Python,5100,420,Изучение проектирования масштабируемых систем.,2026-06-10 12:30
roadmap-ru,kamranahmedse,TypeScript,4700,370,"Дорожные карты, руководства и другой образовательный контент.",2026-06-10 12:30
django-ru-blog,kirillplatonov,Python,2900,180,Русскоязычный Django блог на практике.,2026-06-10 12:30
golang-ru,dariubs,Go,3400,290,Curated list of Go русский.,2026-06-10 12:30
nestjs-ru-tutorial,nestjs,TypeScript,2600,210,NestJS учебник на русском.,2026-06-10 12:30
fastapi-tutorial-ru,tiangolo,Python,3100,240,FastAPI документация на русском.,2026-06-10 12:30
react-ru,enaqx,JavaScript,4500,360,Коллекция ресурсов React на русском.,2026-06-10 12:30
k8s-book-ru,nigelpoulton,Go,1800,150,Книга по Kubernetes на русском.,2026-06-10 12:30
ml-interviews-ru,chiphuyen,Python,2200,190,Интервью по машинному обучению на русском.,2026-06-10 12:30
learn-rust-ru,rust-lang,Rust,1600,120,Книга Rust на русском языке.,2026-06-10 12:30
kotlin-ru,JetBrains,Kotlin,2800,220,Kotlin документация на русском.,2026-06-10 12:30
docker-ru-tutorial,docker,Shell,1900,160,Docker для начинающих на русском.,2026-06-10 12:30
